"nutrient_orig","nutrient","units","description","fao_code"
"Alanine","Alanine","mg","Includes only L-alanine.","ALA"
"Alanine_plus_arginine","Alanine plus arginine",NA,NA,NA
"Alpha_carotene","Alpha carotene",NA,NA,NA
"Alpha_tocopherol","Alpha tocopherol",NA,NA,NA
"Aluminium","Aluminium","mcg","Aluminium synonym aluminum","AL"
"Aluminum","Aluminum","mcg","Aluminium","AL"
"Amino_acids_total_essential_unknown_or_variable_which_as_are_included_in_total","Amino acids total essential unknown or variable which as are included in total",NA,"We might have to remove this one, lots of inconsistencies in units for the peer review data versus FAO Biodiversity",NA
"Amino_acids_total_nonessential","Amino acids total nonessential",NA,"We might have to remove this one, lots of inconsistencies in units for the peer review data versus FAO Biodiversity",NA
"Amino_acids_total_precise_definition_not_specified","Amino acids total precise definition not specified",NA,"We might have to remove this one, lots of inconsistencies in units for the peer review data versus FAO Biodiversity",NA
"Amino_acids_total_sulfurcontaining","Amino acids total sulfurcontaining",NA,NA,NA
"Antimony","Antimony","mcg","Antimony","SB"
"Arginine","Arginine","mg","Includes only L-arginine","ARG"
"Arsenic","Arsenic","mcg","Arsenic","AS"
"Ash","Ash","g","Ash, synonym minerals","Ash"
"Asparagine_plus_aspartic_acid","Asparagine plus aspartic acid",NA,NA,NA
"Aspartic_acid","Aspartic acid","mg","Aspartic acid; includes only L-aspartic acid","ASP"
"Aspartic_acid_1","Aspartic acid 1",NA,NA,NA
"Astaxanthin","Astaxanthin",NA,NA,NA
"Barium","Barium","mcg","Barium","BA"
"Beta_carotene","Beta carotene",NA,NA,NA
"Beta_carotene_equivalents","Beta carotene equivalents",NA,NA,NA
"Beta_sitosterol","Beta sitosterol",NA,NA,NA
"Brassicasterol","Brassicasterol","mg","Brassicasterol","BRASTR"
"Bromide","Bromide","mcg","Bromide","BRD"
"Cadmium","Cadmium","mcg","Cadmium","CD"
"Calcium","Calcium","mg","Calcium","CA"
"Campesterol_total","Campesterol total",NA,NA,NA
"Carbohydrate_available_calculated_by_difference","Carbohydrate available calculated by difference","g","Carbohydrates, available; calculated by difference.","CHOAVLDF"
"Carbohydrate_method_of_determination_unknown_or_variable","Carbohydrate method of determination unknown or variable","g",NA,NA
"Carbohydrate_total_calculated_by_difference","Carbohydrate total calculated by difference","g","Carbohydrates, total; calculated by difference.","CHOCDF"
"Carotenoids_total","Carotenoids total",NA,NA,NA
"Cellulose","Cellulose","g","Cellulose","CELLU"
"Cesium","Cesium",NA,NA,NA
"Chloride","Chloride","mg","Chloride synonym chlorine","CLD"
"Cholecalciferol_d3","Cholecalciferol d3","mcg","Cholecalciferol; syonym Vitamin D-3","CHOCAL"
"Cholesterol_determined_by_enzymatic_or_chromatographic_method","Cholesterol determined by enzymatic or chromatographic method","mg","Cholesterol; determined by enzymatic or chromatographic method","CHOLE"
"Cholesterol_method_unknown_or_variable","Cholesterol method unknown or variable","mg","Cholesterol; method of determination unknown or variable","CHOL-"
"Cholesteryl_ester_total","Cholesteryl ester total",NA,NA,NA
"Chromium","Chromium","mcg","Chromium","CR"
"Cobalt","Cobalt","mcg","Cobalt","CO"
"Conversion_factor_to_calculate_total_protein_from_nitrogen","Conversion factor to calculate total protein from nitrogen",NA,NA,NA
"Copper","Copper","mg","Copper","CU"
"Cystine","Cystine","mg","Cysteine is often the natural form, which is converted to cystine during chromatography; includes only the L-amino acid","CYS"
"Dehydroretinol","Dehydroretinol",NA,NA,NA
"Diglycerides_total","Diglycerides total","g","Total diglycerides","DGLY"
"Dry_matter","Dry matter","g","Dry matter","DM"
"Energy_gross_determined_by_direct_analysis_using_bomb_calorimetry_kcal","Energy gross determined by direct analysis using bomb calorimetry kcal","kcal","Energy in kilocalories, calculated by direct analysis using bomb calorimetry",NA
"Energy_gross_determined_by_direct_analysis_using_bomb_calorimetry_kj","Energy gross determined by direct analysis using bomb calorimetry kj","kj","Energy in kilojoules, calculated by direct analysis using bomb calorimetry","ENERA"
"Energy_total_metabolizable_calculated_from_the_energy_producing_food_components_original_as_from_source_kcal","Energy total metabolizable calculated from the energy producing food components original as from source kcal","kcal","Energy in kilocalories, total metabolizable; calculated from the energy-producing food components",NA
"Energy_total_metabolizable_calculated_from_the_energy_producing_food_components_original_as_from_source_kj","Energy total metabolizable calculated from the energy producing food components original as from source kj","kj","Energy in kilojoules, total metabolizable; calculated from the energy-producing food components","ENERC"
"Ergocalciferol_d2","Ergocalciferol d2","mcg","Ergocalciferol Vitamin D-2","ERGCAL"
"Ergosterol","Ergosterol",NA,NA,NA
"Fat_method_of_determination_unknown_or_mixed_methods","Fat method of determination unknown or mixed methods",NA,"Fat method unknown or mixed",NA
"Fat_total","Fat total","g","Fat, total. Synonym total lipids. Sum of triglycerides, phospholipids, sterols and related compounds. The analytical method is a mixed solvent extraction.","FAT"
"Fat_total_derived_by_analysis_using_continuous_extraction","Fat total derived by analysis using continuous extraction","g","Fat, total; derived by analysis using continuous extraction.","FATCE"
"Fatty_acid_10_0","Fatty acid 10 0","g","Fatty acid 10:0",NA
"Fatty_acid_10_1","Fatty acid 10 1","g","Fatty acid 10:1",NA
"Fatty_acid_11_0","Fatty acid 11 0","g","Fatty acid 11:0",NA
